DATE,AUINSA
2020-01-01,526.061
2020-02-01,514.285
2020-03-01,585.378
2020-04-01,538.499
2020-05-01,457.7
2020-06-01,452.811
2020-07-01,501.435
2020-08-01,513.899
2020-09-01,507.049
2020-10-01,507.181
2020-11-01,487.562
2020-12-01,470.052
2021-01-01,442.445
2021-02-01,403.333
2021-03-01,356.037
2021-04-01,311.247
2021-05-01,251.822
2021-06-01,197.354
2021-07-01,143.643
2021-08-01,126.21
2021-09-01,83.509
2021-10-01,84.638
2021-11-01,73.501
2021-12-01,82.005
2022-01-01,69.863
2022-02-01,64.666
2022-03-01,77.447
2022-04-01,79.712
2022-05-01,81.798
2022-06-01,93.301
2022-07-01,81.899
2022-08-01,106.788
2022-09-01,110.477
2022-10-01,103.625
2022-11-01,104.181
2022-12-01,112.739
