observation_date,"Domestic Auto Inventories, Thousands of Units, Monthly, Seasonally Adjusted"
Jan-20,526.061
Feb-20,514.285
Mar-20,585.378
Apr-20,538.499
May-20,457.700
Jun-20,452.811
Jul-20,501.435
Aug-20,513.899
Sep-20,507.049
Oct-20,507.181
Nov-20,487.562
Dec-20,470.052
Jan-21,442.445
Feb-21,403.333
Mar-21,356.037
Apr-21,311.247
May-21,251.822
Jun-21,197.354
Jul-21,143.643
Aug-21,126.210
Sep-21,83.509
Oct-21,84.638
Nov-21,73.501
Dec-21,82.005
Jan-22,69.863
Feb-22,64.666
Mar-22,77.447
Apr-22,79.712
May-22,81.798
Jun-22,93.301
Jul-22,81.899
Aug-22,106.788
Sep-22,110.477
Oct-22,103.625
Nov-22,104.181
Dec-22,112.739
