observation_date,Consumer Price Index
Jan-20,138.428
Feb-20,138.437
Mar-20,139.150
Apr-20,137.901
May-20,138.528
Jun-20,135.320
Jul-20,138.039
Aug-20,146.245
Sep-20,154.420
Oct-20,156.354
Nov-20,154.860
Dec-20,153.842
Jan-21,152.620
Feb-21,151.331
Mar-21,152.215
Apr-21,166.799
May-21,179.671
Jun-21,196.086
Jul-21,195.215
Aug-21,192.669
Sep-21,191.694
Oct-21,197.651
Nov-21,204.010
Dec-21,211.882
Jan-22,214.914
Feb-22,213.702
Mar-22,206.036
Apr-22,204.632
May-22,208.447
Jun-22,209.540
Jul-22,207.815
Aug-22,207.436
Sep-22,205.156
Oct-22,201.645
Nov-22,197.633
Dec-22,193.691
,
